# WACC assumptions per region (two letter code as used for region selection in config.yaml) in % for different WACC scenarios (selection in config.yaml),,,,,,
region,homogeneous,irena,lowhomogeneous,highhomogeneous,homogeneous-7.5,pypsa-eur-sec
AE,10,,5,12,7.5,7
AF,10,,5,12,7.5,7
AO,10,,5,12,7.5,7
AR,10,10,5,12,7.5,7
AR-South,10,10,5,12,7.5,7
AR-North,10,10,5,12,7.5,7
AU,10,7.5,5,12,7.5,7
AU-West,10,7.5,5,12,7.5,7
AU-East,10,7.5,5,12,7.5,7
AZ,10,,5,12,7.5,7
BO,10,,5,12,7.5,7
BR-Northeast,10,,5,12,7.5,7
BR-Southeast,10,,5,12,7.5,7
CA,10,7.5,5,12,7.5,7
CA-East,10,7.5,5,12,7.5,7
CL,10,7.5,5,12,7.5,7
CN,10,7.5,5,12,7.5,7
CN-East,10,7.5,5,12,7.5,7
CN-Northeast,10,7.5,5,12,7.5,7
CN-Southeast,10,7.5,5,12,7.5,7
CN-West,10,7.5,5,12,7.5,7
CO,10,,5,12,7.5,7
DE,10,7.5,5,12,7.5,7
DJ,10,,5,12,7.5,7
DK,10,7.5,5,12,7.5,7
DZ,10,10,5,12,7.5,7
EG,10,10,5,12,7.5,7
EH,10,,5,12,7.5,7
ER,10,,5,12,7.5,7
ES,10,7.5,5,12,7.5,7
ET,10,,5,12,7.5,7
GE,10,,5,12,7.5,7
IL,10,,5,12,7.5,7
IN-Northwest,10,,5,12,7.5,7
IN-South,10,,5,12,7.5,7
IN-East,10,,5,12,7.5,7
IR,10,,5,12,7.5,7
IS,10,7.5,5,12,7.5,7
IQ,10,,5,12,7.5,7
JO,10,,5,12,7.5,7
KE,10,,5,12,7.5,7
KZ,10,10,5,12,7.5,7
KW,10,,5,12,7.5,7
LK,10,,5,12,7.5,7
LY,10,10,5,12,7.5,7
MA,10,10,5,12,7.5,7
MA-Xlinks,10,10,5,12,7.5,7
MG,10,,5,12,7.5,7
MM,10,,5,12,7.5,7
MN,10,,5,12,7.5,7
MR,10,,5,12,7.5,7
MX,10,,5,12,7.5,7
MZ,10,,5,12,7.5,7
NA,10,10,5,12,7.5,7
NG,10,,5,12,7.5,7
OM,10,,5,12,7.5,7
PE,10,,5,12,7.5,7
PK,10,10,5,12,7.5,7
QA,10,,5,12,7.5,7
RU,10,10,5,12,7.5,7
RU-West,10,10,5,12,7.5,7
SA,10,10,5,12,7.5,7
SD,10,,5,12,7.5,7
SN,10,,5,12,7.5,7
SO,10,,5,12,7.5,7
SY,10,,5,12,7.5,7
TH,10,,5,12,7.5,7
TM,10,,5,12,7.5,7
TN,10,10,5,12,7.5,7
TR,10,7.5,5,12,7.5,7
TZ,10,,5,12,7.5,7
UA,10,10,5,12,7.5,7
US,10,7.5,5,12,7.5,7
US-Northeast,10,7.5,5,12,7.5,7
US-Southeast,10,7.5,5,12,7.5,7
US-Northwest,10,7.5,5,12,7.5,7
US-Southwest,10,7.5,5,12,7.5,7
US-Alaska,10,7.5,5,12,7.5,7
US-East,10,7.5,5,12,7.5,7
UY,10,,5,12,7.5,7
UZ,10,,5,12,7.5,7
VE,10,,5,12,7.5,7
VN,10,,5,12,7.5,7
YE,10,,5,12,7.5,7
ZA,10,,5,12,7.5,7
