scenario,year,esc,exporter,importer
default,2030,hvdc-to-elec,CN-Northeast,EUSE
default,2030,hvdc-to-elec,CN-Northeast,EUE
default,2030,hvdc-to-elec,CN-Southeast,EUSE
default,2030,hvdc-to-elec,CN-Southeast,EUE
default,2030,hvdc-to-elec,CN-West,EUSE
default,2030,hvdc-to-elec,CN-West,EUE
default,2030,hvdc-to-elec,DZ,EUSW
default,2030,hvdc-to-elec,DZ,EUS
default,2030,hvdc-to-elec,EG,EUSE
default,2030,hvdc-to-elec,KZ,EUSE
default,2030,hvdc-to-elec,KZ,EUE
default,2030,hvdc-to-elec,LY,EUS
default,2030,hvdc-to-elec,LY,EUSE
default,2030,hvdc-to-elec,MA,EUSW
default,2030,hvdc-to-elec,EH,EUSW
default,2030,hvdc-to-elec,OM,EUSE
default,2030,hvdc-to-elec,SA,EUSE
default,2030,hvdc-to-elec,TN,EUSW
default,2030,hvdc-to-elec,TN,EUS
default,2030,hvdc-to-elec,TR,EUSE
default,2030,hvdc-to-elec,UA,EUE
default,2030,hvdc-to-elec,TM,EUSE
default,2030,hvdc-to-elec,TM,EUE
default,2030,hvdc-to-elec,UZ,EUSE
default,2030,hvdc-to-elec,UZ,EUE
default,2030,hvdc-to-elec,MN,EUSE
default,2030,hvdc-to-elec,MN,EUE
default,2030,hvdc-to-elec,MR,EUSW
default,2030,pipeline-h2,CN-Northeast,EUSE
default,2030,pipeline-h2,CN-Northeast,EUE
default,2030,pipeline-h2,CN-Southeast,EUSE
default,2030,pipeline-h2,CN-Southeast,EUE
default,2030,pipeline-h2,CN-West,EUSE
default,2030,pipeline-h2,CN-West,EUE
default,2030,pipeline-h2,DZ,EUSW
default,2030,pipeline-h2,DZ,EUS
default,2030,pipeline-h2,EG,EUSE
default,2030,pipeline-h2,KZ,EUSE
default,2030,pipeline-h2,KZ,EUE
default,2030,pipeline-h2,LY,EUS
default,2030,pipeline-h2,LY,EUSE
default,2030,pipeline-h2,MA,EUSW
default,2030,pipeline-h2,EH,EUSW
default,2030,pipeline-h2,OM,EUSE
default,2030,pipeline-h2,SA,EUSE
default,2030,pipeline-h2,TN,EUSW
default,2030,pipeline-h2,TN,EUS
default,2030,pipeline-h2,TR,EUSE
